,Date,Tweets,Retweets,Replies,Sum
0,01/01/2020,36,38,63,137
1,02/01/2020,44,46,75,165
2,03/01/2020,50,45,70,165
3,04/01/2020,58,48,92,198
4,05/01/2020,48,36,48,132
5,06/01/2020,64,50,85,199
6,07/01/2020,45,46,67,158
7,08/01/2020,71,41,44,156
8,09/01/2020,82,66,140,288
9,10/01/2020,61,36,54,151
10,11/01/2020,43,43,30,116
11,12/01/2020,75,96,53,224
12,13/01/2020,54,38,61,153
13,14/01/2020,82,71,50,203
14,15/01/2020,55,43,50,148
15,16/01/2020,73,85,68,226
16,17/01/2020,104,62,86,252
17,18/01/2020,65,63,38,166
18,19/01/2020,54,43,76,173
19,20/01/2020,77,60,54,191
20,21/01/2020,71,160,44,275
21,22/01/2020,78,100,63,241
22,23/01/2020,41,72,43,156
23,24/01/2020,37,56,45,138
24,25/01/2020,42,46,25,113
25,26/01/2020,75,56,94,225
26,27/01/2020,63,48,64,175
27,28/01/2020,49,89,118,256
28,29/01/2020,53,81,98,232
29,30/01/2020,49,71,57,177
30,31/01/2020,60,83,43,186
31,01/02/2020,60,80,61,201
32,02/02/2020,104,80,61,245
33,03/02/2020,104,52,57,213
34,04/02/2020,107,77,113,297
35,05/02/2020,80,112,91,283
36,06/02/2020,88,77,58,223
37,07/02/2020,62,76,68,206
38,08/02/2020,84,68,105,257
39,09/02/2020,66,48,65,179
40,10/02/2020,75,95,71,241
41,11/02/2020,60,84,64,208
42,12/02/2020,82,124,77,283
43,13/02/2020,63,82,53,198
44,14/02/2020,59,84,59,202
45,15/02/2020,74,89,79,242
46,16/02/2020,68,83,122,273
47,17/02/2020,90,93,90,273
48,18/02/2020,83,93,82,258
49,19/02/2020,60,76,58,194
50,20/02/2020,65,108,83,256
51,21/02/2020,82,91,75,248
52,22/02/2020,59,89,113,261
53,23/02/2020,62,62,84,208
54,24/02/2020,71,120,69,260
55,25/02/2020,123,138,120,381
56,26/02/2020,132,108,102,342
57,27/02/2020,124,137,131,392
58,28/02/2020,95,107,77,279
59,29/02/2020,72,67,53,192
60,01/03/2020,102,100,134,336
61,02/03/2020,105,126,94,325
62,03/03/2020,67,125,70,262
63,04/03/2020,66,91,44,201
64,05/03/2020,88,108,81,277
65,06/03/2020,61,101,67,229
66,07/03/2020,71,72,81,224
67,08/03/2020,110,79,74,263
68,09/03/2020,113,91,66,270
69,10/03/2020,116,109,67,292
70,11/03/2020,197,129,54,380
71,12/03/2020,98,95,53,246
72,13/03/2020,130,111,53,294
73,14/03/2020,110,99,118,327
74,15/03/2020,123,139,81,343
75,16/03/2020,146,128,96,370
76,17/03/2020,82,123,71,276
77,18/03/2020,135,132,108,375
78,19/03/2020,91,108,109,308
79,20/03/2020,142,146,92,380
80,21/03/2020,147,94,116,357
81,22/03/2020,191,454,151,796
82,23/03/2020,149,195,96,440
83,24/03/2020,143,107,110,360
84,25/03/2020,173,148,103,424
85,26/03/2020,159,129,123,411
86,27/03/2020,167,200,163,530
87,28/03/2020,137,122,201,460
88,29/03/2020,196,205,140,541
89,30/03/2020,237,346,221,804
90,31/03/2020,214,206,158,578
91,01/04/2020,238,159,216,613
92,02/04/2020,181,145,196,522
93,03/04/2020,193,149,109,451
94,04/04/2020,179,156,197,532
95,05/04/2020,243,149,129,521
96,06/04/2020,187,127,125,439
97,07/04/2020,171,279,165,615
98,08/04/2020,180,106,114,400
99,09/04/2020,223,136,188,547
100,10/04/2020,232,118,207,557
101,11/04/2020,241,309,248,798
102,12/04/2020,202,321,185,708
103,13/04/2020,224,675,184,1083
104,14/04/2020,227,250,198,675
105,15/04/2020,242,181,138,561
106,16/04/2020,213,167,161,541
107,17/04/2020,254,170,179,603
108,18/04/2020,288,402,322,1012
109,19/04/2020,556,577,263,1396
110,20/04/2020,248,327,182,757
111,21/04/2020,198,156,193,547
112,22/04/2020,205,450,188,843
113,23/04/2020,249,153,258,660
114,24/04/2020,299,286,265,850
115,25/04/2020,286,226,352,864
116,26/04/2020,300,219,260,779
117,27/04/2020,282,231,260,773
118,28/04/2020,287,186,252,725
119,29/04/2020,270,159,184,613
120,30/04/2020,325,171,294,790
121,01/05/2020,301,521,327,1149
122,02/05/2020,299,224,308,831
123,03/05/2020,231,254,219,704
124,04/05/2020,212,280,161,653
125,05/05/2020,292,498,232,1022
126,06/05/2020,366,272,228,866
127,07/05/2020,339,519,263,1121
128,08/05/2020,306,212,184,702
129,09/05/2020,291,500,250,1041
130,10/05/2020,249,207,263,719
131,11/05/2020,267,236,278,781
132,12/05/2020,375,249,278,902
133,13/05/2020,364,276,389,1029
134,14/05/2020,504,803,460,1767
135,15/05/2020,372,691,584,1647
136,16/05/2020,314,339,565,1218
137,17/05/2020,312,334,561,1207
138,18/05/2020,337,278,482,1097
139,19/05/2020,265,267,894,1426
140,20/05/2020,294,228,485,1007
141,21/05/2020,444,658,406,1508
142,22/05/2020,436,1008,342,1786
143,23/05/2020,352,523,381,1256
144,24/05/2020,377,616,508,1501
145,25/05/2020,376,585,482,1443
146,26/05/2020,323,411,547,1281
147,27/05/2020,435,334,767,1536
148,28/05/2020,375,607,576,1558
149,29/05/2020,432,624,764,1820
150,30/05/2020,421,537,450,1408
151,31/05/2020,485,662,721,1868
152,01/06/2020,497,740,578,1815
153,02/06/2020,463,585,616,1664
154,03/06/2020,437,761,744,1942
155,04/06/2020,440,879,717,2036
156,05/06/2020,389,829,755,1973
157,06/06/2020,412,575,834,1821
158,07/06/2020,400,604,733,1737
159,08/06/2020,384,524,877,1785
160,09/06/2020,467,1205,1075,2747
161,10/06/2020,432,765,1043,2240
162,11/06/2020,452,958,951,2361
163,12/06/2020,513,1604,773,2890
164,13/06/2020,352,1804,774,2930
165,14/06/2020,547,1408,888,2843
166,15/06/2020,430,1285,725,2440
167,16/06/2020,437,2185,989,3611
168,17/06/2020,214,1432,584,2230
